generation,num_individuals,maxm2
1,100,0
11,115,0
21,130,0.1
31,129,0.1
41,131,0.1
51,140,0
61,158,0
71,157,0.1
81,154,0.1
91,152,0.1
101,138,0.2
111,135,0.2
121,140,0.2
131,143,0.2
141,143,0.2
151,157,0.2
161,164,0.2
171,166,0.2
181,175,0.2
191,171,0.2
201,171,0.2
211,171,0.2
221,176,0.2
231,176,0.2
241,184,0.2
251,197,0.2
261,200,0.2
271,193,0.2
281,206,0.2
291,221,0.2
301,225,0.2
311,244,0.2
321,270,0.2
331,280,0.1
341,280,0.1
351,293,0.1
361,295,0.2
371,314,0.1
381,329,0.2
391,342,0.1
401,364,0.2
411,385,0.1
421,391,0.1
431,416,0.2
441,439,0.2
451,460,0.2
461,478,0.1
471,495,0.1
481,508,0.1
491,565,0.2
501,582,0.2
511,601,0.2
521,613,0.2
531,626,0.2
541,634,0.2
551,652,0.2
561,691,0.2
571,733,0.2
581,752,0.2
591,797,0.2
601,864,0.2
611,901,0.2
621,953,0.2
631,1044,0.2
641,1045,0.2
651,1087,0.2
661,1087,0.3
671,1143,0.3
681,1162,0.3
691,1216,0.3
701,1212,0.3
711,1243,0.3
721,1288,0.3
731,1317,0.3
741,1350,0.3
751,1396,0.3
761,1413,0.3
771,1467,0.3
781,1458,0.3
791,1449,0.3
801,1540,0.3
811,1613,0.4
821,1638,0.3
831,1692,0.3
841,1756,0.3
851,1787,0.3
861,1877,0.3
871,1966,0.3
881,2044,0.3
891,2090,0.3
901,2127,0.3
911,2148,0.3
921,2187,0.3
931,2206,0.3
941,2308,0.4
951,2366,0.4
961,2436,0.4
971,2435,0.4
981,2491,0.4
991,2511,0.4
1001,2524,0.4
1011,2622,0.4
1021,2643,0.4
1031,2760,0.4
1041,2846,0.4
1051,2937,0.4
1061,3018,0.5
1071,3060,0.5
1081,3142,0.5
1091,3178,0.5
1101,3255,0.5
1111,3234,0.5
1121,3304,0.4
1131,3346,0.4
1141,3416,0.4
1151,3556,0.4
1161,3660,0.4
1171,3732,0.5
1181,3897,0.5
1191,3947,0.4
1201,3981,0.4
1211,4018,0.5
1221,4041,0.5
1231,4097,0.5
1241,4170,0.5
1251,4182,0.5
1261,4294,0.5
1271,4355,0.5
1281,4393,0.5
1291,4534,0.5
1301,4660,0.4
1311,4705,0.4
1321,4749,0.4
1331,4860,0.4
1341,4898,0.4
1351,4932,0.5
1361,4953,0.5
1371,5078,0.5
1381,5132,0.4
1391,5150,0.4
1401,5211,0.4
1411,5266,0.4
1421,5281,0.4
1431,5344,0.4
1441,5388,0.4
1451,5438,0.4
1461,5480,0.4
1471,5469,0.4
1481,5576,0.4
1491,5592,0.4
1501,5510,0.4
1511,5554,0.4
1521,5701,0.4
1531,5774,0.4
1541,5781,0.4
1551,5815,0.4
1561,5822,0.5
1571,5825,0.5
1581,5843,0.5
1591,5970,0.5
1601,6003,0.5
1611,6069,0.5
1621,6084,0.5
1631,6222,0.5
1641,6144,0.5
1651,6190,0.5
1661,6227,0.5
1671,6179,0.5
1681,6131,0.5
1691,6208,0.5
1701,6269,0.5
1711,6316,0.5
1721,6394,0.5
1731,6554,0.4
1741,6603,0.5
1751,6594,0.5
1761,6663,0.5
1771,6728,0.5
1781,6773,0.5
1791,6772,0.5
1801,6820,0.5
1811,6876,0.5
1821,6865,0.5
1831,6925,0.5
1841,6931,0.6
1851,7001,0.6
1861,7007,0.6
1871,7097,0.6
1881,7043,0.6
1891,7077,0.6
1901,7056,0.6
1911,7042,0.6
1921,7018,0.6
1931,7042,0.6
1941,7123,0.6
1951,7140,0.6
1961,7201,0.6
1971,7214,0.6
1981,7275,0.6
1991,7243,0.6
2001,7350,0.6
2011,7307,0.6
2021,7405,0.6
2031,7421,0.6
2041,7448,0.6
2051,7510,0.6
2061,7518,0.5
2071,7490,0.5
2081,7506,0.5
2091,7622,0.5
2101,7595,0.5
2111,7575,0.5
2121,7557,0.5
2131,7476,0.5
2141,7513,0.5
2151,7479,0.5
2161,7482,0.5
2171,7504,0.5
2181,7575,0.5
2191,7504,0.5
2201,7560,0.5
2211,7517,0.5
2221,7527,0.5
2231,7530,0.5
2241,7580,0.5
2251,7608,0.5
2261,7662,0.5
2271,7487,0.5
2281,7435,0.6
2291,7445,0.6
2301,7542,0.6
2311,7546,0.6
2321,7561,0.6
2331,7560,0.6
2341,7530,0.6
2351,7483,0.6
2361,7590,0.6
2371,7515,0.6
2381,7484,0.6
2391,7535,0.6
2401,7556,0.6
2411,7481,0.6
2421,7542,0.6
2431,7444,0.6
2441,7432,0.6
2451,7466,0.6
2461,7398,0.6
2471,7460,0.6
2481,7535,0.6
2491,7651,0.6
2501,7740,0.6
2511,7722,0.6
2521,7633,0.6
