generation,num_individuals,value
1,100,5e-05
11,101,5e-05
21,125,5e-05
31,132,5e-05
41,150,5e-05
51,168,5e-05
61,178,5e-05
71,199,5e-05
81,218,5e-05
91,227,5e-05
101,259,5e-05
111,281,5e-05
121,304,5e-05
131,338,5e-05
141,363,5e-05
151,389,5e-05
161,423,5e-05
171,450,5e-05
181,492,5e-05
191,519,5e-05
201,596,5e-05
211,651,5e-05
221,723,5e-05
231,739,5e-05
241,796,5e-05
251,820,5e-05
261,855,5e-05
271,904,5e-05
281,945,5e-05
291,1056,5e-05
301,1134,5e-05
311,1228,5e-05
321,1350,5e-05
331,1469,5e-05
341,1583,5e-05
351,1684,5e-05
361,1791,5e-05
371,1925,5e-05
381,2082,5e-05
391,2216,5e-05
401,2350,5e-05
411,2460,5e-05
421,2649,5e-05
431,2845,5e-05
441,3111,5e-05
451,3278,5e-05
461,3500,5e-05
471,3656,5e-05
481,3888,5e-05
491,4075,5e-05
501,4330,5e-05
511,4604,5e-05
521,4820,5e-05
531,5064,5e-05
541,5415,5e-05
551,5700,5e-05
561,5986,5e-05
571,6296,5e-05
581,6449,5e-05
591,6780,5e-05
601,7077,5e-05
611,7324,5e-05
621,7693,5e-05
631,8059,5e-05
641,8424,5e-05
651,8773,5e-05
661,9028,5e-05
671,9382,5e-05
681,9844,5e-05
691,10197,5e-05
701,10395,5e-05
711,10657,5e-05
721,11129,5e-05
731,11487,5e-05
741,11723,5e-05
751,12177,5e-05
761,12453,5e-05
771,12872,5e-05
781,13016,5e-05
791,13132,5e-05
801,13400,5e-05
811,13800,5e-05
821,14106,5e-05
831,14323,5e-05
841,14490,5e-05
851,14772,5e-05
861,15015,5e-05
871,15221,5e-05
881,15400,5e-05
891,15468,5e-05
901,15514,5e-05
911,15578,5e-05
921,15697,5e-05
931,15773,5e-05
941,15950,5e-05
951,15864,5e-05
961,15858,5e-05
971,16007,5e-05
981,16058,5e-05
991,16272,5e-05
1001,16465,5e-05
1011,16631,5e-05
1021,16615,5e-05
1031,16716,5e-05
1041,16749,5e-05
1051,16709,5e-05
1061,16763,5e-05
1071,16829,5e-05
1081,16930,5e-05
1091,16778,5e-05
1101,16911,5e-05
1111,17011,5e-05
1121,17030,5e-05
1131,17029,5e-05
1141,17038,5e-05
1151,17044,5e-05
1161,16928,5e-05
1171,16921,5e-05
1181,16886,5e-05
1191,16959,5e-05
1201,17001,5e-05
1211,16916,5e-05
1221,16954,5e-05
1231,16930,5e-05
1241,17076,5e-05
1251,17044,5e-05
1261,17026,5e-05
1271,16901,5e-05
1281,16998,5e-05
1291,17117,5e-05
1301,17110,5e-05
1311,17102,5e-05
1321,17078,5e-05
1331,17035,5e-05
1341,17118,5e-05
1351,17127,5e-05
1361,17242,5e-05
1371,17341,5e-05
1381,17274,5e-05
1391,17513,5e-05
1401,17485,5e-05
1411,17353,5e-05
1421,17362,5e-05
1431,17312,5e-05
1441,17209,5e-05
1451,17277,5e-05
1461,17219,5e-05
1471,17215,5e-05
1481,17286,5e-05
1491,17323,5e-05
1501,17293,5e-05
1511,17311,5e-05
1521,17304,5e-05
1531,17299,5e-05
1541,17280,5e-05
1551,17378,5e-05
1561,17440,5e-05
1571,17429,5e-05
1581,17429,5e-05
1591,17465,5e-05
1601,17447,5e-05
1611,17481,5e-05
1621,17460,5e-05
1631,17524,5e-05
1641,17486,5e-05
1651,17411,5e-05
1661,17390,5e-05
1671,17433,5e-05
1681,17456,5e-05
1691,17433,5e-05
1701,17354,5e-05
1711,17377,5e-05
1721,17380,5e-05
1731,17284,5e-05
1741,17198,5e-05
1751,17167,5e-05
1761,17329,5e-05
1771,17254,5e-05
1781,17177,5e-05
1791,17086,5e-05
1801,16993,5e-05
1811,16928,5e-05
1821,16963,5e-05
1831,16982,5e-05
1841,16995,5e-05
1851,16955,5e-05
1861,16996,5e-05
1871,17059,5e-05
1881,17118,5e-05
1891,17161,5e-05
1901,17032,5e-05
1911,17018,5e-05
1921,17057,5e-05
1931,17088,5e-05
1941,17149,5e-05
1951,17145,5e-05
1961,17274,5e-05
1971,17272,5e-05
1981,17267,5e-05
1991,17368,5e-05
2001,17367,5e-05
2011,17359,5e-05
2021,17317,5e-05
2031,17494,5e-05
2041,17479,5e-05
2051,17627,5e-05
2061,17654,5e-05
2071,17591,5e-05
2081,17507,5e-05
2091,17646,5e-05
2101,17427,5e-05
2111,17388,5e-05
2121,17291,5e-05
2131,17339,5e-05
2141,17353,5e-05
2151,17498,5e-05
2161,17459,5e-05
2171,17495,5e-05
2181,17473,5e-05
2191,17403,5e-05
2201,17386,5e-05
2211,17297,5e-05
2221,17181,5e-05
2231,17255,5e-05
2241,17241,5e-05
2251,17319,5e-05
2261,17355,5e-05
2271,17414,5e-05
2281,17430,5e-05
2291,17530,5e-05
2301,17492,5e-05
2311,17406,5e-05
2321,17326,5e-05
2331,17319,5e-05
2341,17383,5e-05
2351,17415,5e-05
2361,17262,5e-05
2371,17190,5e-05
2381,17093,5e-05
2391,17140,5e-05
2401,17148,5e-05
2411,17249,5e-05
2421,17493,5e-05
2431,17503,5e-05
2441,17572,5e-05
2451,17626,5e-05
2461,17689,5e-05
2471,17717,5e-05
2481,17602,5e-05
2491,17600,5e-05
2501,17604,5e-05
2511,17581,5e-05
2521,17500,5e-05
2531,17420,5e-05
2541,17466,5e-05
2551,17394,5e-05
2561,17442,5e-05
2571,17452,5e-05
2581,17442,5e-05
2591,17422,5e-05
2601,17492,5e-05
2611,17472,5e-05
2621,17614,5e-05
2631,17550,5e-05
2641,17519,5e-05
2651,17563,5e-05
2661,17665,5e-05
2671,17669,5e-05
2681,17626,5e-05
2691,17487,5e-05
2701,17492,5e-05
2711,17536,5e-05
2721,17511,5e-05
2731,17537,5e-05
2741,17740,5e-05
2751,17779,5e-05
2761,17877,5e-05
2771,17898,5e-05
2781,17855,5e-05
2791,17820,5e-05
2801,17700,5e-05
2811,17628,5e-05
2821,17640,5e-05
2831,17655,5e-05
2841,17638,5e-05
2851,17614,5e-05
2861,17630,5e-05
2871,17412,5e-05
2881,17502,5e-05
2891,17467,5e-05
2901,17401,5e-05
2911,17370,5e-05
2921,17320,5e-05
2931,17288,5e-05
2941,17298,5e-05
2951,17373,5e-05
2961,17282,5e-05
2971,17247,5e-05
2981,17200,5e-05
2991,17342,5e-05
3001,17403,5e-05
3011,17482,5e-05
3021,17464,5e-05
3031,17379,5e-05
3041,17395,5e-05
3051,17524,5e-05
3061,17545,5e-05
3071,17561,5e-05
3081,17556,5e-05
3091,17526,5e-05
3101,17500,5e-05
3111,17519,5e-05
3121,17498,5e-05
3131,17459,5e-05
3141,17498,5e-05
3151,17423,5e-05
3161,17557,5e-05
3171,17562,5e-05
3181,17719,5e-05
3191,17689,5e-05
3201,17794,5e-05
3211,17802,5e-05
3221,17853,5e-05
3231,17850,5e-05
3241,17738,5e-05
3251,17679,5e-05
3261,17739,5e-05
3271,17640,5e-05
3281,17594,5e-05
3291,17702,5e-05
3301,17421,5e-05
3311,17405,5e-05
3321,17357,5e-05
3331,17335,5e-05
3341,17342,5e-05
3351,17200,5e-05
3361,17208,5e-05
3371,17234,5e-05
3381,17196,5e-05
3391,17299,5e-05
3401,17102,5e-05
3411,17092,5e-05
3421,17191,5e-05
3431,17216,5e-05
3441,17247,5e-05
3451,17231,5e-05
3461,17130,5e-05
3471,17069,5e-05
3481,17160,5e-05
3491,17339,5e-05
3501,17298,5e-05
3511,17411,5e-05
3521,17232,5e-05
3531,17253,5e-05
3541,17134,5e-05
3551,17148,5e-05
3561,17218,5e-05
3571,17176,5e-05
3581,17219,5e-05
3591,17133,5e-05
3601,17142,5e-05
3611,17048,5e-05
3621,17016,5e-05
3631,17117,5e-05
3641,17088,5e-05
3651,17190,5e-05
