generation,num_individuals
1,100
11,95
21,111
31,124
41,125
51,130
61,146
71,161
81,176
91,184
101,195
111,218
121,234
131,245
141,263
151,286
161,338
171,342
181,379
191,406
201,417
211,442
221,467
231,497
241,531
251,578
261,617
271,675
281,698
291,732
301,807
311,872
321,957
331,1013
341,1091
351,1194
361,1284
371,1370
381,1451
391,1556
401,1708
411,1884
421,1992
431,2109
441,2223
451,2428
461,2532
471,2716
481,2866
491,3018
501,3188
511,3419
521,3628
531,3869
541,4056
551,4185
561,4477
571,4641
581,4969
591,5255
601,5626
611,5971
621,6213
631,6515
641,6773
651,7051
661,7302
671,7515
681,7845
691,8154
701,8609
711,8935
721,9282
731,9556
741,9949
751,10336
761,10608
771,10959
781,11307
791,11590
801,11974
811,12082
821,12521
831,12875
841,13077
851,13404
861,13696
871,14017
881,14293
891,14538
901,14671
911,14742
921,14961
931,15092
941,15269
951,15582
961,15666
971,15816
981,15903
991,15928
1001,16127
1011,16206
1021,16260
1031,16361
1041,16436
1051,16315
1061,16437
1071,16477
1081,16449
1091,16446
1101,16519
1111,16572
1121,16570
1131,16558
1141,16741
1151,16805
1161,16672
1171,16693
1181,16647
1191,16700
1201,16779
1211,16865
1221,16893
1231,16890
1241,16988
1251,17061
1261,17088
1271,17301
1281,17211
1291,17248
1301,17302
1311,17413
1321,17405
1331,17401
1341,17378
1351,17302
1361,17287
1371,17264
1381,17388
1391,17407
1401,17552
1411,17427
1421,17256
1431,17295
1441,17237
1451,17149
1461,17193
1471,17110
1481,17096
1491,17156
1501,17216
1511,17292
1521,17295
1531,17194
1541,17128
1551,17271
1561,17173
1571,17267
1581,17281
1591,17301
1601,17395
1611,17411
1621,17475
1631,17613
1641,17529
1651,17448
1661,17356
1671,17341
1681,17280
1691,17388
1701,17580
1711,17561
1721,17542
1731,17433
1741,17510
1751,17486
1761,17423
1771,17462
1781,17394
1791,17434
1801,17315
1811,17238
1821,17354
1831,17437
1841,17534
1851,17545
1861,17501
1871,17466
1881,17542
1891,17520
1901,17648
1911,17638
1921,17512
1931,17297
1941,17366
1951,17545
1961,17514
1971,17475
1981,17306
1991,17217
2001,17175
2011,17229
2021,17162
2031,17160
2041,17209
2051,17242
2061,17162
2071,17224
2081,17320
2091,17265
2101,17372
2111,17338
2121,17351
2131,17313
2141,17330
2151,17497
2161,17526
2171,17636
2181,17646
2191,17679
2201,17584
2211,17642
2221,17593
2231,17664
2241,17671
2251,17713
2261,17628
2271,17432
