generation,num_individuals
1,100
11,101
21,125
31,132
41,150
51,168
61,178
71,199
81,218
91,227
101,259
111,281
121,304
131,338
141,363
151,389
161,423
171,450
181,492
191,519
201,596
211,651
221,723
231,739
241,796
251,820
261,855
271,904
281,945
291,1056
301,1134
311,1228
321,1350
331,1469
341,1583
351,1684
361,1791
371,1925
381,2082
391,2216
401,2350
411,2460
421,2649
431,2845
441,3111
451,3278
461,3500
471,3656
481,3888
491,4075
501,4330
511,4604
521,4820
531,5064
541,5415
551,5700
561,5986
571,6296
581,6449
591,6780
601,7077
611,7324
621,7693
631,8059
641,8424
651,8773
661,9028
671,9382
681,9844
691,10197
701,10395
711,10657
721,11129
731,11487
741,11723
751,12177
761,12453
771,12872
781,13016
791,13132
801,13400
811,13800
821,14106
831,14323
841,14490
851,14772
861,15015
871,15221
881,15400
891,15468
901,15514
911,15578
921,15697
931,15773
941,15950
951,15864
961,15858
971,16007
981,16058
991,16272
1001,16465
1011,16631
1021,16615
1031,16716
1041,16749
1051,16709
1061,16763
1071,16829
1081,16930
1091,16778
1101,16911
1111,17011
1121,17030
1131,17029
1141,17038
1151,17044
1161,16928
1171,16921
1181,16886
1191,16959
1201,17001
1211,16916
1221,16954
1231,16930
1241,17076
1251,17044
1261,17026
1271,16901
1281,16998
1291,17117
1301,17110
1311,17102
1321,17078
1331,17035
1341,17118
1351,17127
1361,17242
1371,17341
1381,17274
1391,17513
1401,17485
1411,17353
1421,17362
1431,17312
1441,17209
1451,17277
1461,17219
1471,17215
1481,17286
1491,17323
1501,17293
1511,17311
1521,17304
1531,17299
1541,17280
1551,17378
1561,17440
1571,17429
1581,17429
1591,17465
1601,17447
1611,17481
1621,17460
1631,17524
1641,17486
1651,17411
1661,17390
1671,17433
1681,17456
1691,17433
1701,17354
1711,17377
1721,17380
1731,17284
1741,17198
1751,17167
1761,17329
1771,17254
1781,17177
1791,17086
1801,16993
1811,16928
1821,16963
1831,16982
1841,16995
1851,16955
1861,16996
1871,17059
1881,17118
1891,17161
1901,17032
1911,17018
1921,17057
1931,17088
1941,17149
1951,17145
1961,17274
1971,17272
1981,17267
1991,17368
2001,17367
2011,17359
2021,17317
2031,17494
2041,17479
2051,17627
2061,17654
2071,17591
2081,17507
2091,17646
2101,17427
2111,17388
2121,17291
2131,17339
2141,17353
2151,17498
2161,17459
2171,17495
2181,17473
2191,17403
2201,17386
2211,17297
2221,17181
2231,17255
2241,17241
2251,17319
2261,17355
2271,17414
2281,17430
2291,17530
2301,17492
2311,17406
2321,17326
2331,17319
2341,17383
2351,17415
2361,17262
2371,17190
2381,17093
2391,17140
2401,17148
2411,17249
2421,17493
2431,17503
2441,17572
2451,17626
2461,17689
2471,17717
2481,17602
2491,17600
2501,17604
2511,17581
2521,17500
2531,17420
2541,17466
2551,17394
2561,17442
2571,17452
2581,17442
2591,17422
2601,17492
2611,17472
2621,17614
2631,17550
2641,17519
2651,17563
2661,17665
2671,17669
2681,17626
2691,17487
2701,17492
2711,17536
2721,17511
2731,17537
2741,17740
2751,17779
2761,17877
2771,17898
2781,17855
2791,17820
2801,17700
2811,17628
2821,17640
2831,17655
2841,17638
2851,17614
2861,17630
2871,17412
2881,17502
2891,17467
2901,17401
2911,17370
2921,17320
2931,17288
2941,17298
2951,17373
2961,17282
2971,17247
2981,17200
2991,17342
3001,17403
3011,17482
3021,17464
3031,17379
3041,17395
3051,17524
3061,17545
3071,17561
3081,17556
3091,17526
3101,17500
3111,17519
3121,17498
3131,17459
3141,17498
3151,17423
3161,17557
3171,17562
3181,17719
3191,17689
3201,17794
3211,17802
3221,17853
3231,17850
3241,17738
3251,17679
3261,17739
3271,17640
3281,17594
3291,17702
3301,17421
3311,17405
3321,17357
3331,17335
3341,17342
3351,17200
3361,17208
3371,17234
3381,17196
3391,17299
3401,17102
3411,17092
3421,17191
3431,17216
3441,17247
3451,17231
3461,17130
3471,17069
3481,17160
3491,17339
3501,17298
3511,17411
3521,17232
3531,17253
3541,17134
3551,17148
3561,17218
3571,17176
3581,17219
3591,17133
3601,17142
3611,17048
3621,17016
3631,17117
3641,17088
3651,17190
3661,17168
3671,17169
3681,17190
3691,17279
3701,17249
3711,17375
3721,17367
3731,17269
3741,17343
3751,17324
3761,17298
3771,17262
3781,17246
3791,17293
3801,17214
3811,17082
3821,16971
3831,17043
3841,17156
3851,17150
3861,17161
3871,16954
3881,17078
3891,17029
3901,17085
3911,17150
3921,17113
3931,17130
3941,17115
3951,17174
3961,17103
3971,17043
3981,17051
3991,17183
4001,17187
4011,17173
4021,17243
4031,17139
4041,17300
4051,17261
4061,17444
4071,17411
4081,17425
4091,17385
4101,17235
4111,17327
4121,17213
4131,17342
4141,17458
4151,17486
4161,17529
4171,17621
4181,17559
4191,17485
4201,17565
4211,17514
4221,17382
4231,17427
4241,17449
4251,17333
4261,17338
4271,17235
4281,17330
4291,17374
4301,17311
4311,17363
4321,17454
4331,17559
4341,17538
4351,17674
4361,17711
4371,17653
4381,17607
4391,17363
4401,17489
4411,17415
4421,17373
4431,17361
4441,17299
4451,17279
4461,17379
4471,17352
4481,17322
4491,17430
4501,17407
4511,17475
4521,17424
4531,17361
4541,17368
4551,17296
4561,17302
4571,17343
4581,17313
4591,17361
4601,17286
4611,17219
4621,17313
4631,17175
4641,17137
4651,17150
4661,17059
4671,17122
4681,17200
4691,17274
4701,17180
4711,17189
4721,17179
4731,17130
4741,17272
4751,17325
4761,17347
4771,17239
4781,17040
4791,17125
4801,17095
4811,17080
4821,17196
4831,17413
4841,17322
4851,17477
4861,17468
4871,17486
4881,17558
4891,17520
4901,17467
4911,17356
4921,17356
4931,17434
4941,17446
4951,17443
4961,17513
4971,17619
4981,17585
4991,17603
5001,17634
5011,17539
5021,17525
5031,17475
5041,17371
5051,17414
5061,17519
5071,17613
5081,17791
5091,17704
5101,17758
5111,17792
5121,17934
5131,17808
5141,17703
5151,17640
5161,17468
5171,17504
5181,17700
5191,17821
5201,17726
5211,17669
5221,17765
5231,17614
5241,17560
5251,17487
5261,17518
5271,17589
5281,17519
5291,17553
5301,17532
5311,17414
5321,17380
5331,17274
5341,17353
5351,17441
5361,17472
5371,17418
5381,17297
5391,17318
5401,17240
5411,17435
5421,17407
5431,17430
5441,17360
5451,17327
5461,17266
5471,17307
5481,17351
5491,17417
5501,17344
5511,17375
5521,17305
5531,17317
5541,17454
5551,17392
5561,17361
5571,17392
5581,17488
5591,17485
5601,17506
5611,17576
5621,17493
5631,17460
5641,17583
5651,17623
5661,17388
5671,17367
5681,17527
5691,17648
5701,17707
5711,17687
5721,17589
5731,17484
5741,17398
5751,17334
5761,17367
5771,17345
5781,17360
5791,17357
5801,17296
5811,17322
5821,17330
5831,17335
5841,17271
5851,17185
5861,17319
5871,17238
5881,17240
5891,17216
5901,17175
5911,17272
5921,17224
5931,17268
5941,17193
5951,17236
5961,17333
5971,17258
5981,17303
5991,17287
6001,17360
6011,17388
6021,17242
6031,17344
6041,17255
6051,17256
6061,17065
6071,17042
6081,17066
6091,17057
6101,17192
