generation,num_individuals
1,100
11,104
21,128
31,140
41,158
51,168
61,191
71,210
81,208
91,224
101,249
111,270
121,301
131,337
141,383
151,398
161,405
171,456
181,477
191,530
201,571
211,624
221,697
231,748
241,796
251,823
261,927
271,1027
281,1119
291,1218
301,1333
311,1426
321,1506
331,1622
341,1757
351,1921
361,2075
371,2119
381,2280
391,2474
401,2644
411,2909
421,3098
431,3299
441,3431
451,3620
461,3829
471,4143
481,4370
491,4537
501,4816
511,5109
521,5421
531,5652
541,6041
551,6356
561,6774
571,7063
581,7360
591,7750
601,8090
611,8339
621,8558
631,8864
641,9216
651,9553
661,9777
671,10184
681,10519
691,10843
701,11115
711,11439
721,11743
731,12059
741,12270
751,12494
761,12828
771,13023
781,13128
791,13290
801,13534
811,13709
821,13928
831,14060
841,14256
851,14377
861,14435
871,14499
881,14664
891,14812
901,15043
911,15113
921,15507
931,15679
941,15783
951,15952
961,16114
971,16149
981,16114
991,16357
1001,16518
1011,16413
1021,16323
1031,16321
1041,16338
1051,16508
1061,16559
1071,16552
1081,16695
1091,16779
1101,16736
1111,16871
1121,17001
1131,17188
1141,17240
1151,17267
1161,17318
1171,17271
1181,17273
1191,17338
1201,17378
1211,17433
1221,17409
1231,17403
1241,17336
1251,17441
1261,17512
1271,17566
1281,17583
1291,17572
1301,17637
1311,17596
1321,17661
1331,17606
1341,17767
1351,17642
1361,17638
1371,17526
1381,17382
1391,17512
1401,17382
1411,17357
1421,17306
1431,17276
1441,17285
1451,17427
1461,17507
1471,17471
1481,17632
1491,17718
1501,17687
1511,17743
1521,17781
1531,17655
1541,17564
1551,17499
1561,17432
1571,17389
1581,17408
1591,17509
1601,17539
1611,17414
1621,17444
1631,17583
1641,17670
1651,17729
1661,17690
1671,17700
1681,17816
1691,17813
1701,17762
1711,17847
1721,17998
1731,17899
1741,17866
1751,17663
1761,17546
1771,17630
1781,17581
1791,17517
1801,17429
1811,17408
1821,17502
1831,17499
1841,17389
1851,17442
1861,17486
1871,17477
1881,17400
1891,17525
1901,17502
1911,17315
1921,17241
1931,17082
1941,17215
1951,17208
1961,17258
1971,17320
1981,17327
1991,17328
2001,17230
2011,17274
2021,17202
2031,17138
2041,17195
2051,17183
2061,17269
2071,17406
2081,17421
2091,17335
2101,17467
2111,17475
2121,17446
2131,17407
2141,17345
2151,17381
2161,17328
2171,17287
2181,17416
2191,17515
2201,17581
2211,17605
2221,17551
2231,17593
2241,17697
2251,17657
2261,17723
2271,17592
2281,17528
2291,17396
2301,17506
2311,17745
2321,17620
2331,17538
2341,17532
2351,17580
2361,17531
2371,17568
2381,17501
2391,17448
2401,17503
2411,17555
2421,17663
2431,17799
2441,17832
2451,17802
2461,17901
2471,17935
2481,17809
2491,17771
2501,17826
2511,17684
2521,17618
2531,17644
2541,17696
2551,17723
2561,17754
2571,17610
2581,17595
2591,17649
2601,17673
2611,17783
2621,17738
2631,17890
2641,17773
2651,17682
2661,17589
2671,17725
2681,17873
2691,17733
2701,17745
2711,17837
2721,17716
2731,17699
2741,17727
2751,17621
2761,17634
2771,17896
2781,17707
2791,17605
2801,17546
2811,17468
2821,17456
2831,17351
2841,17457
2851,17402
2861,17428
2871,17323
2881,17365
2891,17307
2901,17203
2911,17292
2921,17327
2931,17256
2941,17394
2951,17521
2961,17550
2971,17536
2981,17407
2991,17347
3001,17396
3011,17282
3021,17143
3031,17044
3041,17016
3051,17072
3061,17120
3071,17118
3081,17179
3091,17168
3101,17192
3111,17283
3121,17292
3131,17261
3141,17255
3151,17305
3161,17281
3171,17373
3181,17438
3191,17406
3201,17439
3211,17357
3221,17437
3231,17555
3241,17575
3251,17528
3261,17414
3271,17408
3281,17404
3291,17512
3301,17414
3311,17418
3321,17398
3331,17332
3341,17449
3351,17381
3361,17292
3371,17428
3381,17502
3391,17479
3401,17425
3411,17358
3421,17307
3431,17399
3441,17501
3451,17423
3461,17600
3471,17573
3481,17641
3491,17550
3501,17459
3511,17388
3521,17389
3531,17414
3541,17441
3551,17579
3561,17517
3571,17499
3581,17486
3591,17284
3601,17409
3611,17447
3621,17528
3631,17396
3641,17354
3651,17506
3661,17499
3671,17540
3681,17581
3691,17666
3701,17601
3711,17667
3721,17755
3731,17683
3741,17749
3751,17771
3761,17555
3771,17549
3781,17585
3791,17524
3801,17618
3811,17657
3821,17697
3831,17752
3841,17715
3851,17675
3861,17739
3871,17729
3881,17693
3891,17625
3901,17726
3911,17740
