generation,num_individuals,maxm2
1,100,0
11,98,0.1
21,108,0.1
31,117,0.2
41,135,0.2
51,152,0.2
61,168,0.2
71,198,0.2
81,198,0.2
91,216,0.2
101,208,0.2
111,234,0.2
121,241,0.2
131,268,0.2
141,292,0.2
151,309,0.2
161,348,0.2
171,374,0.2
181,416,0.2
191,479,0.2
201,555,0.2
211,614,0.2
221,642,0.2
231,675,0.2
241,691,0.2
251,740,0.2
261,810,0.2
271,878,0.2
281,909,0.2
291,988,0.2
301,1079,0.2
311,1171,0.2
321,1266,0.2
331,1384,0.2
341,1448,0.2
351,1525,0.2
361,1612,0.2
371,1719,0.2
381,1894,0.2
391,2025,0.2
401,2206,0.2
411,2387,0.3
421,2500,0.3
431,2736,0.3
441,2910,0.3
451,3115,0.3
461,3281,0.3
471,3480,0.3
481,3679,0.3
491,3866,0.3
501,4084,0.3
511,4333,0.3
521,4572,0.3
531,4869,0.3
541,5144,0.3
551,5381,0.3
561,5622,0.3
571,5871,0.3
581,6105,0.3
591,6410,0.4
601,6659,0.4
611,6942,0.4
621,7227,0.4
631,7559,0.4
641,7806,0.4
651,8150,0.4
661,8514,0.4
671,8804,0.4
681,9227,0.4
691,9605,0.4
701,9904,0.4
711,10239,0.5
721,10452,0.4
731,10805,0.4
741,11090,0.4
751,11308,0.4
761,11625,0.5
771,11828,0.5
781,12050,0.5
791,12289,0.5
801,12610,0.5
811,12937,0.5
821,13207,0.5
831,13453,0.5
841,13660,0.5
851,14009,0.5
861,14195,0.5
871,14464,0.5
881,14605,0.5
891,14697,0.5
901,14953,0.5
911,15213,0.5
921,15297,0.5
931,15492,0.5
941,15650,0.5
951,15633,0.5
961,15675,0.5
971,15816,0.5
981,15905,0.5
991,16079,0.5
1001,16191,0.5
1011,16205,0.5
1021,16291,0.5
1031,16419,0.5
1041,16459,0.5
1051,16452,0.5
1061,16556,0.5
1071,16615,0.5
1081,16534,0.5
1091,16569,0.5
1101,16497,0.6
1111,16516,0.6
1121,16690,0.6
1131,16795,0.6
1141,16630,0.6
1151,16795,0.6
1161,16988,0.6
1171,16895,0.6
1181,16967,0.6
1191,16944,0.6
1201,17021,0.6
1211,17100,0.6
1221,17099,0.6
1231,17111,0.6
1241,17062,0.6
1251,17172,0.6
1261,17310,0.6
1271,17415,0.6
1281,17244,0.6
1291,17271,0.5
1301,17156,0.5
1311,17163,0.5
1321,17275,0.5
1331,17331,0.5
1341,17474,0.5
1351,17566,0.5
1361,17545,0.5
1371,17461,0.5
1381,17219,0.5
1391,17339,0.5
1401,17458,0.5
1411,17468,0.6
1421,17462,0.5
1431,17385,0.5
1441,17329,0.5
1451,17205,0.5
1461,17222,0.5
1471,17265,0.5
1481,17274,0.5
1491,17313,0.5
1501,17323,0.5
1511,17219,0.5
1521,17091,0.5
1531,17201,0.5
1541,17286,0.5
1551,17323,0.6
1561,17224,0.5
1571,17459,0.5
1581,17382,0.5
1591,17143,0.5
1601,17206,0.5
1611,17140,0.5
1621,17164,0.5
1631,17112,0.5
1641,17131,0.5
1651,17181,0.6
1661,17194,0.6
1671,17075,0.6
1681,17005,0.6
1691,17190,0.6
1701,17055,0.6
1711,16973,0.6
1721,16899,0.6
1731,16959,0.6
1741,16870,0.6
1751,16944,0.6
1761,17129,0.6
1771,17115,0.6
1781,17265,0.6
1791,17183,0.6
1801,17050,0.6
1811,17068,0.6
1821,17114,0.6
1831,17184,0.6
1841,17218,0.6
1851,17368,0.6
1861,17310,0.6
1871,17270,0.6
1881,17343,0.6
1891,17383,0.6
1901,17429,0.7
1911,17486,0.7
1921,17412,0.7
1931,17237,0.7
1941,17370,0.6
1951,17339,0.6
1961,17446,0.6
1971,17559,0.6
1981,17533,0.6
1991,17638,0.6
2001,17572,0.6
