generation,num_individuals
1,100
11,99
21,106
31,116
41,126
51,152
61,164
71,161
81,190
91,187
101,192
111,203
121,229
131,256
141,264
151,276
161,284
171,315
181,325
191,337
201,342
211,380
221,403
231,445
241,479
251,531
261,583
271,623
281,656
291,701
301,750
311,798
321,879
331,892
341,902
351,1001
361,1064
371,1142
381,1200
391,1292
401,1406
411,1533
421,1647
431,1727
441,1859
451,1945
461,2065
471,2224
481,2364
491,2631
501,2779
511,2973
521,3075
531,3310
541,3530
551,3753
561,3991
571,4242
581,4496
591,4781
601,5047
611,5401
621,5658
631,5948
641,6280
651,6554
661,6907
671,7301
681,7687
691,7955
701,8174
711,8535
721,9012
731,9451
741,9733
751,10052
761,10248
771,10500
781,10779
791,11164
801,11407
811,11761
821,12106
831,12314
841,12592
851,12882
861,13203
871,13398
881,13782
891,13878
901,14130
911,14414
921,14602
931,14686
941,14952
951,15077
961,15255
971,15261
981,15437
991,15582
1001,15608
1011,15717
1021,15710
1031,15904
1041,15987
1051,16184
1061,16475
1071,16602
1081,16620
1091,16864
1101,16930
1111,16833
1121,16899
1131,17027
1141,17016
1151,16975
1161,16982
1171,17020
1181,17078
1191,17177
1201,17136
1211,17300
1221,17291
1231,17306
1241,17255
1251,17101
1261,17055
1271,17126
1281,17079
1291,17028
1301,16963
1311,17008
1321,17050
1331,17195
1341,17261
1351,17245
1361,17134
1371,17090
1381,17241
1391,17286
1401,17289
1411,17367
1421,17446
1431,17357
1441,17527
1451,17662
1461,17627
1471,17582
1481,17568
1491,17565
1501,17609
1511,17545
1521,17551
1531,17520
1541,17535
1551,17466
1561,17490
1571,17586
1581,17496
1591,17446
1601,17264
1611,17236
1621,17356
1631,17311
1641,17271
1651,17260
1661,17268
1671,17363
1681,17249
1691,17161
1701,17198
1711,17150
1721,17118
1731,17137
1741,17012
1751,17078
1761,17110
1771,17206
1781,17153
1791,17152
1801,17220
1811,17154
1821,17073
1831,17113
1841,17217
1851,17211
1861,17188
1871,17105
1881,17119
1891,16932
1901,16965
1911,17192
1921,17190
1931,17367
1941,17350
1951,17405
1961,17343
1971,17419
1981,17561
1991,17411
2001,17489
2011,17361
2021,17407
2031,17398
2041,17476
2051,17571
2061,17530
2071,17656
2081,17588
2091,17495
2101,17513
2111,17484
2121,17585
2131,17720
2141,17760
2151,17637
2161,17589
2171,17552
2181,17584
2191,17478
2201,17352
2211,17355
2221,17239
2231,17294
2241,17310
2251,17230
2261,17132
2271,17101
2281,17112
2291,17101
2301,17145
2311,17180
2321,17089
2331,17014
2341,17131
2351,17232
2361,17317
2371,17318
2381,17447
2391,17412
2401,17407
2411,17219
2421,17142
2431,17072
2441,17083
2451,16985
2461,17109
2471,17155
2481,17192
2491,17300
2501,17283
2511,17305
2521,17308
2531,17324
2541,17411
2551,17412
2561,17267
2571,17333
2581,17388
2591,17434
2601,17620
2611,17453
2621,17528
2631,17503
2641,17438
2651,17343
2661,17488
2671,17493
2681,17489
2691,17629
2701,17576
2711,17612
2721,17624
2731,17607
2741,17525
2751,17536
2761,17512
2771,17549
2781,17459
2791,17324
2801,17292
2811,17346
2821,17331
2831,17317
2841,17354
2851,17313
2861,17366
2871,17330
2881,17154
2891,17249
2901,17284
2911,17414
2921,17524
2931,17341
2941,17432
2951,17400
2961,17348
2971,17322
2981,17349
2991,17360
3001,17212
3011,17308
3021,17342
3031,17483
3041,17463
3051,17475
3061,17592
3071,17492
3081,17478
3091,17485
3101,17412
3111,17503
3121,17594
3131,17411
3141,17402
3151,17547
3161,17375
3171,17355
3181,17425
3191,17471
3201,17534
3211,17565
3221,17411
3231,17450
3241,17391
3251,17341
3261,17391
3271,17389
3281,17457
3291,17443
3301,17403
3311,17408
3321,17450
3331,17437
3341,17492
3351,17508
3361,17619
3371,17615
3381,17516
3391,17366
3401,17267
3411,17214
3421,17123
3431,17172
3441,17219
3451,17328
3461,17323
3471,17363
3481,17274
3491,17302
3501,17249
3511,17172
3521,17206
3531,17297
3541,17253
3551,17239
3561,17249
3571,17102
3581,17243
3591,17270
3601,17439
3611,17381
3621,17398
3631,17383
3641,17361
3651,17473
3661,17437
3671,17380
3681,17386
3691,17426
3701,17384
3711,17505
3721,17480
3731,17413
3741,17424
3751,17431
3761,17317
3771,17348
3781,17519
3791,17516
3801,17539
3811,17553
3821,17642
3831,17570
3841,17534
3851,17570
3861,17415
3871,17444
3881,17403
3891,17477
3901,17416
3911,17439
3921,17467
3931,17494
3941,17440
3951,17478
3961,17462
3971,17535
3981,17559
3991,17603
4001,17678
4011,17722
4021,17688
4031,17692
4041,17674
4051,17673
4061,17750
4071,17840
4081,17936
4091,17839
4101,17773
4111,17667
4121,17635
4131,17508
4141,17540
4151,17710
4161,17622
4171,17538
4181,17532
4191,17483
4201,17450
4211,17449
4221,17398
4231,17420
4241,17347
4251,17340
4261,17366
4271,17378
4281,17255
4291,17295
4301,17423
4311,17449
4321,17377
4331,17333
4341,17285
4351,17303
4361,17385
4371,17369
4381,17519
4391,17423
4401,17313
4411,17222
4421,17136
4431,17117
4441,17222
4451,17177
4461,17118
4471,17081
4481,17079
4491,16998
4501,17009
4511,17035
4521,17025
4531,16960
4541,17079
4551,17149
4561,17187
4571,17086
4581,17136
4591,16931
4601,17022
4611,17039
4621,17093
4631,17273
4641,17305
4651,17297
4661,17388
4671,17410
4681,17366
4691,17401
4701,17468
4711,17470
4721,17558
4731,17576
4741,17617
4751,17470
4761,17568
4771,17483
4781,17392
4791,17325
4801,17369
4811,17394
4821,17425
4831,17522
4841,17618
4851,17705
4861,17819
4871,17776
4881,17745
4891,17792
4901,17856
4911,17912
4921,17868
4931,17851
4941,17811
4951,17748
4961,17720
4971,17679
4981,17660
4991,17534
5001,17433
5011,17504
5021,17475
5031,17472
5041,17459
5051,17436
5061,17309
5071,17355
5081,17361
5091,17241
5101,17303
5111,17305
5121,17399
5131,17409
5141,17411
5151,17502
5161,17559
5171,17548
5181,17545
5191,17483
5201,17455
5211,17369
5221,17318
5231,17355
5241,17302
5251,17253
5261,17152
5271,17237
5281,17193
5291,17250
5301,17193
5311,17244
5321,17301
5331,17361
5341,17349
5351,17284
5361,17436
5371,17400
5381,17372
5391,17474
5401,17488
5411,17637
5421,17801
5431,17803
5441,17814
5451,17810
5461,17641
5471,17607
5481,17625
5491,17599
5501,17615
5511,17719
5521,17598
5531,17644
5541,17772
5551,17708
